,année,Nombre de personnes interrogées,Profils sociodémographiques,Ensemble,Sexe,Homme,Femme,Age,De 18 à 24 ans,De 25 à 34 ans,De 35 à 49 ans,De 50 à 64 ans,65 ans et plus,CSP en 2 classes (avec retraités et chômeurs recodés),CSP +,CSP -,Situation professionnelle,Travail,Etudes,Chômage,Retraite,Inactif,Situation financière perçue,Bonne situation financière,Situation financière juste,Situation financière très difficile,Vit seul,vit_seul_non,vit_seul_oui,Parent d'enfant(s) de 16 ans ou moins,parent_non,parent_oui,Présente un risque de développer une forme grave de COVID-192,risque_covid_non,risque_covid_oui,Antécédents de trouble psychologique,antécédents_non,antécédents_non.1,Conditions de vie liées à l'épidémie,Condition de travail (population active),En télétravail,En entreprise,Au chômage partiel,En arrêt de travail,Logement avec forte promiscuité,logement_promiscuité_non,logement_promiscuité_oui,Avoir un soutien moral ou affectif,soutien_non,soutien_oui,Avoir ou avoir eu des symptômes de la COVID-19,symptomes_non,symptomes_oui
0,mars 2020,2001.5,,61.3,,54.2,67.8,,68.5,64.6,68.4,56.5,53.6,,57.7,64.0,,63.8,63.6,65.9,53.9,65.9,,56.6,63.9,70.0,,61.6,60.5,,59.2,66.4,,,,,58.2,76.1,,,64,"63,2","60,4","69,7",,60.9,66.2,,58.0,63.6,,59.8,69.2
1,avril 2020,2003.33,,65.53,,59.1,71.3,,74.63,70.83,67.2,64.47,57.43,,61.73,68.3,,67.2,73.6,73.43,58.2,68.87,,60.7,69.23,74.23,,65.6,65.23,,64.13,69.03,,,,,62.63,79.1,,,"67,07","64,20","71,50","68,67",,64.6,75.6,,64.2,66.6,,63.6,74.9
2,mai 2020,2000.0,,65.6,,59.93,70.75,,72.1,71.83,70.08,63.43,56.28,,61.98,68.48,,68.03,69.43,72.25,56.9,72.73,,60.63,69.28,74.45,,65.83,64.95,,64.1,69.4,,63.7,68.27,,62.23,82.1,,,"69,43","66,13","69,60","75,25",,64.95,73.75,,62.28,69.53,,63.6,76.38
3,juin 2020,2001.0,,63.4,,56.85,69.25,,72.2,67.8,66.75,63.1,53.5,,59.0,66.0,,64.55,71.25,75.35,54.3,73.65,,58.0,67.45,73.15,,63.25,63.85,,62.0,66.85,,60.85,67.5,,59.4,82.15,,,"66,60","63,40","65,15","76,60",,62.7,70.6,,60.55,67.4,,60.8,78.45
4,juillet 2020,2000.0,,64.75,,59.0,69.95,,69.2,73.2,69.65,63.4,53.6,,62.6,65.35,,67.15,65.6,75.55,54.5,74.8,,60.2,67.45,74.15,,64.65,65.2,,62.05,71.0,,63.3,67.15,,60.75,83.95,,,"68,85","66,35","74,65","75,30",,63.6,78.0,,61.6,69.3,,62.35,77.9
5,août 2020,2000.0,,64.6,,56.6,71.8,,65.9,71.7,69.6,63.2,55.3,,62.5,65.7,,66.9,66.0,75.0,55.8,70.6,,58.4,69.5,74.8,,65.3,62.0,,62.2,70.3,,63.8,65.8,,60.4,84.8,,,"60,2","67,6","50,3","75,6",,63.9,72.9,,61.5,69.8,,62.1,76.8
6,septembre 2020,2000.0,,65.8,,58.6,72.3,,84.1,70.1,65.1,64.8,57.1,,61.7,68.7,,66.7,79.9,78.7,57.2,69.2,,59.4,70.9,74.8,,65.7,66.1,,65.3,66.8,,63.8,69.1,,61.8,85.1,,,"55,3","67,4","58,5","82,1",,65.6,68.7,,63.7,69.0,,63.2,76.4
7,octobre 2020,2001.0,,64.5,,58.0,70.3,,66.4,70.6,66.3,65.5,56.7,,62.3,65.4,,66.6,65.5,70.7,56.5,72.7,,55.9,70.6,76.9,*,65.8,60.1,,62.8,68.7,,62.8,67.5,,60.7,81.2,,,"67,5","65,8","75,7","79,1",,64.4,65.7,,62.9,66.9,,61.3,78.7
8,novembre 2020,2000.0,,64.4,,57.45,70.75,,69.9,71.7,68.8,63.55,53.5,,60.3,67.5,,66.6,72.65,74.8,54.45,72.1,,58.0,68.65,73.6,,64.5,63.95,,62.35,69.2,,64.95,63.4,,60.85,81.9,,,"64,7",66,"71,5","76,4",,63.9,69.9,,62.45,66.2,,63.8,73.0
9,décembre 2020,2000.0,,66.2,,58.7,73.1,*,72.6,70.1,66.8,65.5,61.0,,64.4,67.6,,68.8,72.9,69.9,59.1,66.4,,60.5,73.3,73.0,,66.5,64.9,*,64.7,69.6,,65.8,66.9,,63.0,81.3,,,"71,1","67,1","66,9","91,2",,66.0,68.5,,66.4,65.9,,63.6,77.5
10,janvier 2021,2000.0,,67.0,,61.4,72.1,,68.9,70.4,69.2,64.2,64.5,**,63.6,71.2,*,68.8,67.3,73.7,62.2,64.5,,62.3,67.0,78.9,,66.1,70.0,,65.5,70.6,,65.4,70.0,,63.3,81.2,,,"67,1","68,8","68,7","73,8",,66.2,76.5,,65.3,68.5,,65.0,74.4
11,février 2021,2000.0,,65.8,,59.6,71.3,,71.4,65.5,68.6,63.1,63.3,,63.1,66.9,,65.7,73.0,68.4,62.3,73.4,,60.2,68.1,75.9,,66.5,63.4,,65.1,67.3,*,64.0,69.0,,61.9,81.4,,,"77,9","63,4","68,1","78,2",,65.5,69.0,,62.6,68.8,,63.5,75.3
12,mars 2021,2001.0,,65.3,,59.5,70.7,**,64.1,68.5,71.1,63.6,59.5,**,61.6,69.2,**,66.1,60.4,73.8,60.7,72.7,,60.0,67.0,77.3,,65.6,64.6,*,64.1,68.3,*,63.4,69.0,,60.9,83.5,,,"63,5","65,9","77,8","71,1",,64.9,70.7,,62.5,67.9,,62.7,77.0
13,avril 2021,2001.0,,64.0,,58.0,69.6,*,65.9,70.0,65.6,62.5,59.3,**,60.9,67.3,*,66.0,70.2,69.2,57.9,65.2,,60.2,66.1,72.6,,64.3,63.2,**,62.1,69.1,*,62.4,67.4,,59.6,82.9,,,"61,9","65,6","66,6","91,4",,64.0,64.6,,61.8,66.2,,62.1,71.7
14,mai 2021,2000.0,,63.6,,57.9,68.8,,70.0,71.0,65.8,61.7,55.7,*,60.0,65.3,,65.8,75.3,69.5,54.8,69.8,,58.6,65.8,76.1,,63.7,63.1,**,61.6,68.4,,63.0,64.8,,59.5,80.7,,,"63,9","65,3","66,1","80,4",,63.0,70.4,,61.4,66.0,,62.1,69.2
15,juin 2021,2000.0,,66.3,,58.0,73.8,,76.4,67.9,70.9,61.3,61.3,,62.2,68.8,,67.2,77.2,71.4,59.9,73.8,,60.6,69.7,77.8,,66.0,66.9,,65.0,69.0,,65.0,68.4,,62.5,80.8,,,--,--,--,--,,65.6,73.3,,63.8,70.6,,63.8,76.1
16,juillet 2021,2000.0,,59.2,,53.3,64.4,,59.0,63.9,57.4,61.3,55.8,,57.3,58.8,*,58.6,63.7,63.4,55.9,69.9,,53.5,62.3,72.2,,60.1,56.5,**,57.2,63.5,**,56.7,63.1,,54.5,78.0,,,--,--,--,--,,58.9,63.0,,56.4,63.5,,55.3,72.6
17,septembre 2021,2001.0,,63.0,,56.0,69.3,,71.7,66.2,66.4,62.7,53.8,*,60.6,64.0,,65.8,66.6,71.9,53.2,69.5,,57.9,68.0,71.8,,63.4,61.7,*,61.4,66.3,,63.5,62.0,,57.9,80.7,,,--,--,--,--,,62.3,71.4,,60.4,66.7,,60.6,72.3
18,octobre 2021,2001.0,,69.8,,63.6,75.4,,71.1,77.6,74.1,70.5,58.8,*,67.2,71.8,,72.8,71.3,82.2,59.7,74.1,,63.8,74.2,80.5,,70.0,69.3,**,68.0,74.2,*,68.2,72.8,,66.7,80.7,,,--,--,--,--,,69.3,76.7,,68.0,71.5,,68.2,76.0
